| time |   in   |load |  out   |reset|
| 0+   |      0 |  0  |      0 |  0  |
| 1    |      0 |  0  |      0 |  0  |
| 1+   |      0 |  1  |      0 |  0  |
| 2    |      0 |  1  |      0 |  0  |
| 2+   | -32123 |  0  |      0 |  0  |
| 3    | -32123 |  0  |      0 |  0  |
| 3+   |  11111 |  0  |      0 |  0  |
| 4    |  11111 |  0  |      0 |  0  |
| 4+   | -32123 |  1  |      0 |  0  |
| 5    | -32123 |  1  | -32123 |  0  |
| 5+   | -32123 |  1  | -32123 |  0  |
| 6    | -32123 |  1  | -32123 |  0  |
| 6+   | -32123 |  0  | -32123 |  0  |
| 7    | -32123 |  0  | -32123 |  0  |
| 7+   |  12345 |  1  | -32123 |  0  |
| 8    |  12345 |  1  |  12345 |  0  |
| 8+   |      0 |  0  |  12345 |  0  |
| 9    |      0 |  0  |  12345 |  0  |
| 9+   |      0 |  1  |  12345 |  0  |
| 10   |      0 |  1  |      0 |  0  |
| 10+  |      1 |  0  |      0 |  0  |
| 11   |      1 |  0  |      0 |  0  |
| 11+  |      1 |  1  |      0 |  0  |
| 12   |      1 |  1  |      1 |  0  |
| 12+  |      2 |  0  |      1 |  0  |
| 13   |      2 |  0  |      1 |  0  |
| 13+  |      2 |  1  |      1 |  0  |
| 14   |      2 |  1  |      2 |  0  |
| 14+  |      4 |  0  |      2 |  0  |
| 15   |      4 |  0  |      2 |  0  |
| 15+  |      4 |  1  |      2 |  0  |
| 16   |      4 |  1  |      4 |  0  |
| 16+  |      8 |  0  |      4 |  0  |
| 17   |      8 |  0  |      4 |  0  |
| 17+  |      8 |  1  |      4 |  0  |
| 18   |      8 |  1  |      8 |  0  |
| 18+  |     16 |  0  |      8 |  0  |
| 19   |     16 |  0  |      8 |  0  |
| 19+  |     16 |  1  |      8 |  0  |
| 20   |     16 |  1  |     16 |  0  |
| 20+  |     32 |  0  |     16 |  0  |
| 21   |     32 |  0  |     16 |  0  |
| 21+  |     32 |  1  |     16 |  0  |
| 22   |     32 |  1  |     32 |  0  |
| 22+  |     64 |  0  |     32 |  1  |
| 23   |     64 |  0  |     32 |  1  |
| 23+  |     64 |  1  |     32 |  1  |
| 24   |     64 |  1  |      0 |  1  |
| 24+  |    128 |  0  |      0 |  0  |
| 25   |    128 |  0  |      0 |  0  |
| 25+  |    128 |  1  |      0 |  0  |
| 26   |    128 |  1  |    128 |  0  |
| 26+  |    256 |  0  |    128 |  0  |
| 27   |    256 |  0  |    128 |  0  |
| 27+  |    256 |  1  |    128 |  0  |
| 28   |    256 |  1  |    256 |  0  |
| 28+  |    512 |  0  |    256 |  0  |
| 29   |    512 |  0  |    256 |  0  |
| 29+  |    512 |  1  |    256 |  0  |
| 30   |    512 |  1  |    512 |  0  |
| 30+  |   1024 |  0  |    512 |  0  |
| 31   |   1024 |  0  |    512 |  0  |
| 31+  |   1024 |  1  |    512 |  0  |
| 32   |   1024 |  1  |   1024 |  0  |
| 32+  |   2048 |  0  |   1024 |  0  |
| 33   |   2048 |  0  |   1024 |  0  |
| 33+  |   2048 |  1  |   1024 |  0  |
| 34   |   2048 |  1  |   2048 |  0  |
| 34+  |   4096 |  0  |   2048 |  0  |
| 35   |   4096 |  0  |   2048 |  0  |
| 35+  |   4096 |  1  |   2048 |  0  |
| 36   |   4096 |  1  |   4096 |  0  |
| 36+  |   8192 |  0  |   4096 |  0  |
| 37   |   8192 |  0  |   4096 |  0  |
| 37+  |   8192 |  1  |   4096 |  0  |
| 38   |   8192 |  1  |   8192 |  0  |
| 38+  |  16384 |  0  |   8192 |  0  |
| 39   |  16384 |  0  |   8192 |  0  |
| 39+  |  16384 |  1  |   8192 |  0  |
| 40   |  16384 |  1  |  16384 |  0  |
| 40+  | -32768 |  0  |  16384 |  0  |
| 41   | -32768 |  0  |  16384 |  0  |
| 41+  | -32768 |  1  |  16384 |  0  |
| 42   | -32768 |  1  | -32768 |  0  |
| 42+  |     -2 |  0  | -32768 |  0  |
| 43   |     -2 |  0  | -32768 |  0  |
| 43+  |     -2 |  1  | -32768 |  0  |
| 44   |     -2 |  1  |     -2 |  0  |
| 44+  |     -3 |  0  |     -2 |  0  |
| 45   |     -3 |  0  |     -2 |  0  |
| 45+  |     -3 |  1  |     -2 |  0  |
